# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
mu ying 	母嬰	c=1 d=1.08318e-87 t=1393466
mu you 	幕友	c=1 d=4.05731e-153 t=1393466
mu you 	木有	c=12 d=0.467713 t=1393466
mu yu 	母語	c=8 d=1.83296e-14 t=1393466
mu yu 	沐浴	c=1 d=0 t=1393466
mu yu lu 	沐浴露	c=15 d=5.01426e-115 t=1393466
mu zhi 	拇指	c=1 d=1.3424e-23 t=1393466
mu zhi 	木質	c=2 d=3.89395e-52 t=1393466
mu zi 	模子	c=1 d=6.16692e-255 t=1393466
na 	哪	c=77 d=0.386741 t=1393466
na 	拿	c=111 d=0.028239 t=1393466
na 	納	c=11 d=1.73563e-163 t=1393466
na 	那	c=1094 d=0.881003 t=1393466
na 	鈉	c=9 d=0 t=1393466
na ba 	那把	c=3 d=1.10195e-142 t=1393466
na bang 	那幫	c=2 d=0.000139481 t=1393466
na bang ren 	那幫人	c=4 d=0.0014018 t=1393466
na bao bao 	那抱抱	c=2 d=2.55356e-88 t=1393466
na bei 	那輩	c=1 d=0 t=1393466
na ben 	哪本	c=3 d=0 t=1393466
na ben 	那本	c=7 d=1.16014e-71 t=1393466
na ben shu 	那本書	c=13 d=2.00525e-06 t=1393466
na ben shu li 	那本書裏	c=1 d=0 t=1393466
na bi 	那筆	c=2 d=3.74533e-06 t=1393466
na bian 	哪邊	c=12 d=2.79128e-47 t=1393466
na bian 	那邊	c=415 d=0.0918019 t=1393466
na bian de 	那邊的	c=3 d=2.50734e-79 t=1393466
na bian shi 	那邊是	c=2 d=2.03732e-78 t=1393466
na bian zhu ce 	那邊註冊	c=1 d=1.66288e-218 t=1393466
na bo 	衲帛	c=0 d=4.60973e-97 t=1393466
na bu 	哪部	c=0 d=0 t=1393466
na bu 	那不	c=5 d=3.32464e-16 t=1393466
na bu dao 	拿不到	c=23 d=0.00236968 t=1393466
na bu fen 	哪部分	c=4 d=5.38385e-40 t=1393466
na bu fen 	那部分	c=22 d=5.30099e-34 t=1393466
na bu hai shi 	那不還是	c=1 d=0 t=1393466
na bu ru 	那不如	c=3 d=0 t=1393466
na bu shi 	那不是	c=12 d=1.34171e-17 t=1393466
na bu suan 	那不算	c=1 d=1 t=1353567
na bu tan 	那不談	c=1 d=1 t=1330843
na bu yao 	那不要	c=1 d=2.49364e-44 t=1393466
na bu zhun 	拿不準	c=1 d=0 t=1393466
na bu zou 	拿不走	c=1 d=0 t=1393466
na cai 	那才	c=1 d=2.42752e-22 t=1393466
na cai shi 	那纔是	c=1 d=5.3623e-81 t=1393466
na chu 	拿出	c=8 d=2.29598e-43 t=1393466
na chu lai 	拿出來	c=23 d=1.27849e-08 t=1393466
na chu qu 	拿出去	c=2 d=0 t=1393466
na ci 	哪次	c=1 d=0 t=1393466
na ci 	那次	c=13 d=9.6051e-17 t=1393466
na cuo 	拿錯	c=1 d=2.33465e-63 t=1393466
na dang 	那檔	c=1 d=3.78638e-281 t=1393466
na dao 	拿到	c=149 d=2.4916e-05 t=1393466
na dao 	那倒	c=1 d=1.02018e-176 t=1393466
na dao le 	拿到了	c=1 d=5.92852e-203 t=1393466
na dao shi 	那倒是	c=3 d=0 t=1393466
na dao shou 	拿到手	c=2 d=5.19973e-13 t=1393466
na de 	拿得	c=1 d=0.150318 t=1393466
na de 	拿的	c=2 d=0 t=1393466
na de chu 	拿得出	c=1 d=8.50667e-10 t=1393466
na de dao 	拿得到	c=1 d=1 t=1316717
na deng wo 	那等我	c=1 d=3.70407e-199 t=1393466
na di fang 	那地方	c=1 d=0.111917 t=1393466
na di zhi 	那地址	c=1 d=3.09714e-35 t=1393466
na dian 	那點	c=3 d=3.97532e-60 t=1393466
na diao 	拿掉	c=2 d=5.82734e-177 t=1393466
na dong xi 	拿東西	c=1 d=1 t=1323580
na dong xi 	那東西	c=3 d=4.5212e-15 t=1393466
na dou shi 	那都是	c=1 d=5.05002e-81 t=1393466
na duan 	哪段	c=4 d=2.52721e-113 t=1393466
na duan 	那段	c=20 d=2.30599e-06 t=1393466
na duan hua 	那段話	c=3 d=1.91307e-73 t=1393466
na duan shi jian 	那段時間	c=3 d=1.46682e-07 t=1393466
na duan shi jian hai shi 	那段時間還是	c=1 d=0 t=1393466
na dui 	那堆	c=1 d=3.83573e-110 t=1393466
na duo 	那多	c=1 d=1.12107e-21 t=1393466
na e mi 	拿俄米	c=1 d=7.95023e-68 t=1393466
na e tou 	拿訛頭	c=1 d=2.95664e-77 t=1393466
na er 	哪兒	c=1 d=0 t=1393466
na fa 	拿發	c=0 d=0 t=1393466
na fang mian 	哪方面	c=24 d=0.0125881 t=1393466
na fen 	那份	c=1 d=3.26116e-142 t=1393466
na feng 	那封	c=2 d=1.18826e-88 t=1393466
na gai 	那該	c=1 d=6.66664e-113 t=1393466
na ge 	哪個	c=764 d=0.869421 t=1393466
na ge 	拿個	c=3 d=4.04322e-24 t=1393466
na ge 	那個	c=1417 d=0.561592 t=1393466
na ge ban ben 	那個版本	c=1 d=0 t=1393466
na ge bi 	那個筆	c=1 d=0 t=1393466
na ge biao 	哪個表	c=1 d=0 t=1393466
na ge ci 	那個詞	c=1 d=4.56323e-65 t=1393466
na ge dong xi 	那個東西	c=1 d=1 t=1375817
na ge gong dan 	那個工單	c=1 d=1.56848e-60 t=1393466
na ge ju 	那個劇	c=1 d=0 t=1393466
na ge ren 	哪個人	c=1 d=1.2121e-57 t=1393466
na ge ren 	那個人	c=29 d=9.37386e-05 t=1393466
na ge ren ni 	那個人你	c=1 d=0 t=1393466
na ge ren shuo 	那個人說	c=1 d=3.58887e-239 t=1393466
na ge shi 	那個是	c=1 d=4.52556e-232 t=1393466
na ge shi hou 	那個時候	c=1 d=0 t=1393466
na ge tu 	那個圖	c=1 d=0 t=1393466
na ge ya 	那個呀	c=1 d=1.82392e-41 t=1393466
na ge yi 	哪個已	c=1 d=4.75497e-108 t=1393466
na ge zi 	那個字	c=1 d=0 t=1393466
na ge zu 	哪個組	c=1 d=6.17146e-58 t=1393466
na gei 	拿給	c=1 d=1.98337e-27 t=1393466
na gen 	那根	c=3 d=1.95671e-103 t=1393466
na guo lai 	拿過來	c=8 d=1.00395e-17 t=1393466
na hai 	哪還	c=1 d=2.08599e-91 t=1393466
na hai 	那還	c=8 d=3.76911e-52 t=1393466
na hai bu ru 	那還不如	c=2 d=0 t=1393466
na hai hao 	那還好	c=2 d=3.78801e-51 t=1393466
na hai shi 	那還是	c=10 d=2.57361e-33 t=1393466
na hai yao 	那還要	c=1 d=1.53012e-151 t=1393466
na hai you 	那還有	c=1 d=4.19597e-166 t=1393466
na hang 	哪行	c=4 d=5.94627e-150 t=1393466
na hang 	那行	c=4 d=3.0472e-79 t=1393466
na hao ba 	那好吧	c=2 d=2.81945e-165 t=1393466
na hong 	納鴻	c=0 d=9.50228e-19 t=1393466
na hu 	哪壺	c=0 d=0 t=1393466
na hui 	哪會	c=1 d=1.48949e-11 t=1393466
na hui 	拿回	c=1 d=0 t=1393466
na hui 	那會	c=0 d=0 t=1393466
na hui jia 	拿回家	c=1 d=2.00781e-24 t=1393466
na hui lai 	拿回來	c=3 d=1.68897e-19 t=1393466
na hui qu 	拿回去	c=3 d=5.76048e-12 t=1393466
na hui tou 	那回頭	c=1 d=9.89994e-206 t=1393466
na ji 	那集	c=1 d=0.380983 t=1393466
na ji ge 	哪幾個	c=2 d=1.91373e-77 t=1393466
na ji ge 	那幾個	c=4 d=3.0655e-120 t=1393466
na ji ge ren 	那幾個人	c=1 d=1.26444e-25 t=1393466
na ji jia 	那幾家	c=1 d=0 t=1393466
na ji pian 	那幾篇	c=1 d=0 t=1393466
na ji tian 	那幾天	c=2 d=5.93389e-08 t=1393466
na jia 	哪家	c=23 d=2.98133e-25 t=1393466
na jia 	那家	c=22 d=3.62588e-07 t=1393466
na jia dian 	那家店	c=1 d=8.5768e-224 t=1393466
na jia ke yi 	哪家可以	c=1 d=1 t=1354852
na jian 	那間	c=1 d=5.25135e-276 t=1393466
na jian shi 	那件事	c=3 d=1.19921e-189 t=1393466
na jian shi qu 	那件事去	c=2 d=4.62774e-190 t=1393466
na jiao 	那叫	c=6 d=2.2007e-15 t=1393466
na jin lai 	拿進來	c=1 d=6.3783e-181 t=1393466
na jin tian 	那今天	c=1 d=4.4962e-38 t=1393466
na jiu 	那就	c=269 d=0.778801 t=1393466
na jiu chi 	那就吃	c=1 d=5.7357e-167 t=1393466
na jiu hao 	那就好	c=8 d=7.69167e-31 t=1393466
na jiu hui 	那就會	c=1 d=0 t=1393466
na jiu ke yi 	那就可以	c=1 d=0 t=1393466
na jiu mai 	那就買	c=2 d=7.06037e-141 t=1393466
na jiu mei ban fa 	那就沒辦法	c=1 d=1 t=1386935
na jiu shi 	那就是	c=29 d=2.65478e-16 t=1393466
na jiu suan 	那就算	c=1 d=3.48421e-185 t=1393466
na jiu suan le 	那就算了	c=4 d=4.64107e-205 t=1393466
na jiu yao 	那就要	c=1 d=0 t=1393466
na jiu yao kan 	那就要看	c=2 d=2.8275e-81 t=1393466
na jiu zai 	那就在	c=1 d=2.0225e-286 t=1393466
na jiu zhe me duo 	那就這麼多	c=1 d=5.4803e-43 t=1393466
na ju 	哪句	c=2 d=0.00236968 t=1393466
na ju 	那句	c=5 d=1.73863e-07 t=1393466
na ju hua 	哪句話	c=1 d=1.05752e-99 t=1393466
na ju hua 	那句話	c=16 d=7.84252e-25 t=1393466
na ka 	拿卡	c=1 d=1.23609e-258 t=1393466
na kai 	拿開	c=1 d=7.25861e-202 t=1393466
na ke neng 	那可能	c=1 d=1 t=1374910
na ke yi 	那可以	c=5 d=5.31561e-37 t=1393466
na kuai 	那塊	c=1 d=0 t=1393466
na kuan 	哪款	c=1 d=2.03739e-49 t=1393466
na kuan 	那款	c=4 d=1.95218e-17 t=1393466
na lai 	哪來	c=34 d=9.8441e-22 t=1393466
na lai 	拿來	c=8 d=1.08794e-21 t=1393466
na lai de 	哪來的	c=1 d=0 t=1393466
na lai de qian 	哪來的錢	c=1 d=0 t=1393466
na le 	拿了	c=8 d=5.08864e-53 t=1393466
na le ge 	拿了個	c=1 d=2.52285e-269 t=1393466
na lei 	哪類	c=2 d=9.21203e-06 t=1393466
na lei 	那類	c=2 d=0 t=1393466
na li 	哪裏	c=376 d=0.456176 t=1393466
na li 	那裏	c=42 d=0.000997758 t=1393466
na li qu 	哪裏去	c=4 d=5.59005e-41 t=1393466
na liang ge 	那兩個	c=2 d=5.38241e-125 t=1393466
na mai 	那買	c=7 d=1.99331e-27 t=1393466
na me 	那麼	c=627 d=0.908628 t=1393466
na me cha 	那麼差	c=2 d=0.0483156 t=1393466
na me chang 	那麼長	c=2 d=0 t=1393466
na me chen 	那麼沉	c=1 d=0 t=1393466
na me da 	那麼大	c=29 d=7.21153e-08 t=1393466
na me da dian 	那麼大點	c=1 d=0 t=1393466
na me di 	那麼地	c=4 d=1.63868e-222 t=1393466
na me dian 	那麼點	c=2 d=1.41454e-80 t=1393466
na me duo 	那麼多	c=134 d=0.40657 t=1393466
na me duo hang 	那麼多行	c=1 d=0 t=1393466
na me duo qian 	那麼多錢	c=4 d=3.83573e-110 t=1393466
na me duo ren 	那麼多人	c=5 d=1.38832e-07 t=1393466
na me duo shi 	那麼多事	c=1 d=0 t=1393466
na me duo xiang 	那麼多項	c=1 d=4.09944e-10 t=1393466
na me fang bian 	那麼方便	c=1 d=7.48525e-152 t=1393466
na me fu za 	那麼複雜	c=2 d=0 t=1393466
na me ga 	那麼噶	c=1 d=0 t=1393466
na me gao 	那麼搞	c=7 d=6.98582e-75 t=1393466
na me gao 	那麼高	c=4 d=1.29424e-05 t=1393466
na me gui 	那麼貴	c=9 d=0.00737249 t=1393466
na me gui de 	那麼貴的	c=1 d=0 t=1393466
na me hao 	那麼好	c=6 d=3.58445e-107 t=1393466
na me hou 	那麼厚	c=1 d=0 t=1393466
na me ji 	那麼急	c=1 d=3.23804e-29 t=1393466
na me ji kuai qian 	那麼幾塊錢	c=1 d=0 t=1393466
na me jiu 	那麼久	c=8 d=5.8026e-127 t=1393466
na me kuai 	那麼塊	c=1 d=0 t=1393466
na me kuai 	那麼快	c=1 d=3.30345e-29 t=1393466
na me la 	那麼辣	c=1 d=0 t=1393466
na me lao yuan 	那麼老遠	c=1 d=0 t=1393466
na me man 	那麼慢	c=1 d=2.09832e-219 t=1393466
na me nao 	那麼鬧	c=2 d=1.9276e-08 t=1393466
na me pian 	那麼偏	c=1 d=0 t=1393466
na me qiang 	那麼強	c=2 d=3.88138e-14 t=1393466
na me qing 	那麼清	c=1 d=0 t=1393466
na me re 	那麼熱	c=1 d=7.86896e-05 t=1393466
na me sha 	那麼傻	c=1 d=0 t=1393466
na me shao 	那麼少	c=1 d=1.50104e-43 t=1393466
na me shuo 	那麼說	c=1 d=5.06843e-65 t=1393466
na me wan 	那麼晚	c=1 d=1.72962e-181 t=1393466
na me xiang 	那麼像	c=1 d=0 t=1393466
na me yuan 	那麼遠	c=10 d=1.92095e-26 t=1393466
na me zao 	那麼早	c=4 d=0 t=1393466
na me zuo 	那麼做	c=4 d=1.45222e-07 t=1393466
na men 	納悶	c=2 d=6.39072e-292 t=1393466
na mi 	納米	c=7 d=4.60126e-45 t=1393466
na mi ma bu 	納米抹布	c=1 d=0 t=1393466
na mian 	那面	c=1 d=0 t=1393466
na miao 	納秒	c=4 d=4.47106e-119 t=1393466
na mo fo 	南無佛	c=1 d=1.58727e-200 t=1393466
na mu 	那母	c=1 d=1.80387e-58 t=1393466
na ne 	哪呢	c=0 d=0 t=1393466
na ne ge 	哪呢個	c=1 d=0 t=1393466
na ni 	拿你	c=2 d=0 t=1393466
na ni 	那你	c=382 d=0.0569366 t=1393466
na ni de 	那你的	c=2 d=1.17576e-140 t=1393466
na ni hai 	那你還	c=1 d=0 t=1393466
na ni jue de 	那你覺得	c=1 d=5.15488e-205 t=1393466
na ni men 	那你們	c=6 d=3.09738e-174 t=1393466
na ni shuo 	那你說	c=4 d=1.10981e-108 t=1393466
na nian 	哪年	c=4 d=0.000315927 t=1393466
na nian 	那年	c=1 d=0 t=1393466
na nie 	拿捏	c=1 d=6.55552e-33 t=1393466
na nv 	那女	c=1 d=0 t=1393466
na pa 	哪怕	c=32 d=6.99959e-10 t=1393466
na pai 	那拍	c=1 d=1.88383e-127 t=1393466
na pian 	哪篇	c=4 d=4.05093e-17 t=1393466
na pian 	那篇	c=24 d=0.0287246 t=1393466
na pian wen zhang 	那篇文章	c=3 d=1.15353e-92 t=1393466
na qi 	拿起	c=1 d=6.38932e-26 t=1393466
na qi bu shi 	拿起不是	c=1 d=0 t=1393466
na qian 	拿錢	c=2 d=8.70458e-105 t=1393466
na qian de 	拿錢的	c=1 d=8.74821e-104 t=1393466
na qu 	哪去	c=3 d=0.00360656 t=1393466
na qu 	拿去	c=9 d=0.00257991 t=1393466
na qu le 	哪去了	c=2 d=0 t=1393466
na qu o 	拿去哦	c=1 d=0 t=1393466
na que shi 	那確實	c=1 d=0.00201931 t=1393466
na ren 	那人	c=1 d=3.59763e-62 t=1393466
na ri 	那日	c=1 d=0 t=1393466
na ru 	納入	c=26 d=2.11873e-39 t=1393466
na shang 	拿上	c=0 d=4.15617e-55 t=1393466
na shi 	那是	c=87 d=0.0247836 t=1393466
na shi 	那時	c=2 d=5.1093e-130 t=1393466
na shi ge 	那是個	c=1 d=0.249075 t=1393466
na shi hou 	那時候	c=18 d=2.56418e-78 t=1393466
na shi qi 	那時器	c=1 d=0 t=1393466
na shi sha 	那是啥	c=2 d=9.92283e-145 t=1393466
na shi yin wei 	那是因爲	c=1 d=3.60131e-74 t=1393466
na shu 	那書	c=1 d=1.68547e-24 t=1393466
na shui ren 	納稅人	c=5 d=2.10862e-33 t=1393466
na si da ke 	納斯達克	c=19 d=3.98506e-30 t=1393466
na ta 	那他	c=1 d=5.38293e-38 t=1393466
na tai 	哪臺	c=14 d=6.21081e-36 t=1393466
na tai 	那臺	c=1 d=9.68144e-120 t=1393466
na tang 	哪趟	c=1 d=0 t=1393466
na tao 	那套	c=6 d=8.59506e-05 t=1393466
na tian 	哪天	c=24 d=5.17203e-09 t=1393466
na tian 	那天	c=13 d=1.64134e-06 t=1393466
na tiao 	哪條	c=1 d=0 t=1393466
na tiao 	那條	c=5 d=5.01954e-98 t=1393466
na tiao lu 	那條路	c=2 d=1.80364e-174 t=1393466
na tie 	拿鐵	c=10 d=1.86083e-12 t=1393466
na wan 	拿完	c=1 d=0 t=1393466
na wei 	哪位	c=30 d=0.0497871 t=1393466
na wen 	拿穩	c=2 d=2.00734e-121 t=1393466
na wo 	拿我	c=1 d=0 t=1393466
na wo 	那我	c=142 d=0.00114769 t=1393466
na wo jiu 	那我就	c=1 d=4.69185e-186 t=1393466
na wo men 	那我們	c=8 d=1.01332e-38 t=1393466
na wu 	那屋	c=2 d=2.42395e-52 t=1393466
na wu xian 	那無線	c=1 d=1 t=1320420
na xi zu 	納西族	c=1 d=1.88331e-65 t=1393466
na xia 	拿下	c=1 d=8.59517e-161 t=1393466
na xia lai 	拿下來	c=1 d=3.54057e-21 t=1393466
na xian zai 	那現在	c=1 d=2.98991e-91 t=1393466
na xiang 	哪項	c=1 d=2.65924e-212 t=1393466
na xiao wang zi 	那小王子	c=6 d=1.83238e-66 t=1393466
na xiao xin 	那小心	c=1 d=1 t=1349063
na xie 	哪些	c=399 d=0.412527 t=1393466
na xie 	拿些	c=0 d=6.17126e-88 t=1393466
na xie 	那些	c=147 d=0.363224 t=1393466
na xie bei 	哪些被	c=1 d=0 t=1393466
na xie bing 	拿些病	c=1 d=6.20219e-87 t=1393466
na xie che 	那些車	c=1 d=1.8493e-174 t=1393466
na xie di fang 	哪些地方	c=1 d=1.32788e-189 t=1393466
na xie hua 	那些話	c=1 d=6.60635e-65 t=1393466
na xie nian 	那些年	c=1 d=0.115903 t=1393466
na xie ren 	哪些人	c=9 d=2.27856e-71 t=1393466
na xie ren 	那些人	c=1 d=1.40275e-11 t=1393466
na xie shi 	那些事	c=1 d=0 t=1393466
na xie shi qing 	那些事情	c=1 d=7.77559e-41 t=1393466
na xie shu 	拿些書	c=1 d=0 t=1393466
na xie yao 	那些藥	c=1 d=0 t=1393466
na xie zhi 	哪些值	c=1 d=0 t=1393466
na yang 	哪樣	c=1 d=3.68599e-259 t=1393466
na yang 	那樣	c=168 d=0.0356146 t=1393466
na yang de hua 	那樣的話	c=1 d=0 t=1393466
na yang zuo 	那樣做	c=1 d=2.14484e-36 t=1393466
na yao 	拿藥	c=2 d=7.64085e-87 t=1393466
na yao 	那要	c=6 d=3.78699e-136 t=1393466
na yao kan 	那要看	c=3 d=2.04225e-77 t=1393466
na yao shi 	那要是	c=1 d=1.14206e-239 t=1393466
na ye 	那也	c=12 d=5.55614e-87 t=1393466
na ye yao 	那也要	c=2 d=3.55278e-179 t=1393466
na yi 	哪一	c=6 d=3.52782e-09 t=1393466
na yi 	那一	c=9 d=1.0095e-23 t=1393466
na yi ban 	哪一班	c=1 d=1.74682e-121 t=1393466
na yi bo 	那一波	c=2 d=4.04227e-80 t=1393466
na yi bu 	哪一步	c=6 d=8.23956e-17 t=1393466
na yi bu 	那一布	c=1 d=1.23189e-218 t=1393466
na yi bu fen ren 	那一部分人	c=1 d=0 t=1393466
na yi ce 	那一側	c=2 d=5.03939e-115 t=1393466
na yi ci 	哪一次	c=1 d=4.90765e-215 t=1393466
na yi ci 	那一次	c=4 d=3.86729e-30 t=1393466
na yi dai 	那一代	c=1 d=0 t=1393466
na yi duan 	哪一段	c=1 d=3.54551e-08 t=1393466
na yi duan 	那一段	c=5 d=2.06715e-43 t=1393466
na yi ge 	哪一個	c=12 d=3.55831e-21 t=1393466
na yi ge 	那一個	c=4 d=0 t=1393466
na yi hang 	哪一行	c=7 d=0.000372602 t=1393466
na yi hang 	那一行	c=4 d=8.91583e-92 t=1393466
na yi hou 	那以後	c=1 d=1 t=1390992
na yi ji 	那一集	c=1 d=1.50745e-240 t=1393466
na yi ju 	那一局	c=1 d=4.09582e-29 t=1393466
na yi ke 	那一刻	c=5 d=7.34423e-09 t=1393466
na yi kuai 	哪一快	c=1 d=2.36557e-12 t=1393466
na yi kuan 	那一款	c=1 d=0 t=1393466
na yi lie 	那一列	c=3 d=8.06215e-55 t=1393466
na yi qi 	那一期	c=1 d=1.83057e-25 t=1393466
na yi tao 	那一套	c=4 d=9.98543e-72 t=1393466
na yi tian 	那一天	c=3 d=7.50304e-33 t=1393466
na yi tiao 	那一條	c=2 d=0 t=1393466
na yi tiao 	那一跳	c=1 d=0 t=1393466
na yi ye 	那一頁	c=1 d=1 t=1357251
na yi zhang 	那一章	c=1 d=6.2921e-168 t=1393466
na yi zhen 	那一陣	c=1 d=0 t=1393466
na yi zhong 	哪一種	c=4 d=1.00375e-44 t=1393466
na yi zhou 	那一周	c=1 d=0 t=1393466
na yin 	捺印	c=0 d=0 t=1393466
na ying gai 	那應該	c=4 d=8.68295e-16 t=1393466
na you 	哪有	c=14 d=3.19485e-52 t=1393466
na you qian 	哪有錢	c=1 d=9.52981e-52 t=1393466
na you ru he 	那又如何	c=1 d=0 t=1393466
na you sha 	那有啥	c=1 d=7.83612e-44 t=1393466
na za ban 	那咋辦	c=1 d=0 t=1393466
na zen me ban 	那怎麼辦	c=4 d=6.47113e-57 t=1393466
na zhan 	那站	c=1 d=2.07278e-222 t=1393466
na zhang 	哪張	c=3 d=0 t=1393466
na zhang 	那張	c=6 d=6.58278e-24 t=1393466
na zhang biao 	哪張表	c=2 d=4.81012e-126 t=1393466
na zhang biao 	那張表	c=1 d=6.61578e-23 t=1393466
na zhang tu 	那張圖	c=1 d=0 t=1393466
na zhao 	那找	c=1 d=1.16327e-132 t=1393466
na zhe 	拿着	c=11 d=9.56811e-11 t=1393466
na zhe ge 	那這個	c=1 d=1 t=1348904
na zhi 	哪隻	c=2 d=4.83984e-169 t=1393466
na zhi 	那隻	c=2 d=2.75695e-166 t=1393466
na zhi hou 	那之後	c=1 d=5.46446e-09 t=1393466
na zhi neng 	那只能	c=1 d=2.11142e-204 t=1393466
na zhong 	哪種	c=15 d=2.43091e-09 t=1393466
na zhong 	那種	c=218 d=0.752014 t=1393466
na zhu yi 	拿主意	c=1 d=0 t=1393466
na zhun bei 	那準備	c=1 d=0 t=1393466
na zou 	拿走	c=5 d=3.33211e-13 t=1393466
nai 	乃	c=9 d=1.09478e-124 t=1393466
nai 	奶	c=16 d=0.217621 t=1393466
nai cha 	奶茶	c=18 d=0.0519539 t=1393466
nai cha dian 	奶茶店	c=1 d=0 t=1393466
nai fan 	耐煩	c=1 d=0 t=1393466
nai fen 	奶粉	c=4 d=7.36591e-18 t=1393466
nai gao wen 	耐高溫	c=0 d=0 t=1393466
nai ke 	耐克	c=2 d=2.09261e-187 t=1393466
nai nai 	奶奶	c=4 d=6.59751e-44 t=1393466
nai nai jia 	奶奶家	c=2 d=0 t=1393466
nai ni 	乃你	c=1 d=0 t=1393466
nai niu 	奶牛	c=2 d=0 t=1393466
nai niu hua 	奶牛花	c=1 d=0 t=1393466
nai niu mao 	奶牛貓	c=1 d=0 t=1393466
nai niu se 	奶牛色	c=1 d=0 t=1393466
nai pao 	奶泡	c=10 d=2.57472e-83 t=1393466
nai shou 	耐受	c=3 d=4.35548e-105 t=1393466
nai shou du 	奶首都	c=1 d=4.33376e-105 t=1393466
nai tou 	奶頭	c=1 d=6.2115e-134 t=1393466
nai wan 	耐玩	c=1 d=3.48492e-158 t=1393466
nai xin 	耐心	c=13 d=8.2105e-93 t=1393466
nai xin deng dai 	耐心等待	c=1 d=1 t=1329194
nai yong 	耐用	c=5 d=5.73724e-82 t=1393466
nai yong pin 	耐用品	c=1 d=2.9362e-113 t=1393466
nai you 	奶油	c=2 d=1.89842e-12 t=1393466
nai zhi 	乃至	c=1 d=2.8637e-113 t=1393466
nan 	南	c=22 d=0.00241755 t=1393466
nan 	男	c=13 d=2.93189e-37 t=1393466
nan 	難	c=70 d=9.37386e-05 t=1393466
nan ban 	難辦	c=16 d=0.00384878 t=1393466
nan ban qiu 	南半球	c=1 d=0.000605171 t=1393466
nan bao 	難保	c=1 d=6.67686e-131 t=1393466
nan bei 	南北	c=7 d=1.68186e-87 t=1393466
nan bian 	南邊	c=4 d=6.45447e-254 t=1393466
nan bu 	南部	c=1 d=6.26565e-236 t=1393466
nan bu cheng 	難不成	c=2 d=0.000558643 t=1393466
nan ce suo 	男廁所	c=3 d=0 t=1393466
nan chan 	難纏	c=1 d=8.83857e-166 t=1393466
nan chang 	南昌	c=2 d=0 t=1393466
nan chi 	難吃	c=1 d=3.2796e-32 t=1393466
nan da 	南大	c=1 d=0 t=1393466
nan dao 	難道	c=258 d=0.0244775 t=1393466
nan dao bu shi 	難道不是	c=10 d=5.24556e-28 t=1393466
nan dao shi 	難道是	c=7 d=3.44108e-68 t=1393466
nan de 	男的	c=9 d=3.32294e-10 t=1393466
nan de 	難得	c=3 d=2.28305e-06 t=1393466
nan de 	難的	c=1 d=0.00810722 t=1393466
nan dian 	難點	c=10 d=4.3155e-26 t=1393466
nan dong 	難懂	c=2 d=1.07565e-05 t=1393466
nan du 	難度	c=78 d=8.65464e-07 t=1393466
nan du bi jiao da 	難度比較大	c=1 d=1 t=1368338
nan fang 	南方	c=16 d=0.000448321 t=1393466
nan fang 	男方	c=11 d=3.7311e-159 t=1393466
nan fang gong yuan 	南方公園	c=1 d=0 t=1393466
nan fang ren 	南方人	c=1 d=0 t=1393466
nan fen 	難分	c=1 d=1.05856e-140 t=1393466
nan fu 	南孚	c=1 d=2.91472e-203 t=1393466
nan gai 	難改	c=1 d=4.48358e-240 t=1393466
nan gao 	難搞	c=9 d=1.74812e-71 t=1393466
nan ge 	難割	c=1 d=7.30914e-166 t=1393466
nan gua 	南瓜	c=0 d=0.0267135 t=1393466
nan gua zhou 	南瓜粥	c=1 d=0.268474 t=1393466
nan hai 	南海	c=3 d=1.74372e-12 t=1393466
nan hai 	男孩	c=2 d=5.37731e-202 t=1393466
nan hai zi 	男孩子	c=2 d=0 t=1393466
nan he 	難喝	c=1 d=1.93974e-30 t=1393466
nan ji 	南極	c=2 d=1 t=1349630
nan jie 	南街	c=7 d=2.00304e-144 t=1393466
nan jing 	南京	c=73 d=9.38025e-13 t=1393466
nan jing bu xing 	南京不行	c=1 d=1.08224e-253 t=1393466
nan jing lu 	南京路	c=2 d=0 t=1393466
nan jing nan zhan 	南京南站	c=1 d=0 t=1393466
nan jing zhan 	南京站	c=2 d=0 t=1393466
nan kan 	難看	c=17 d=2.52402e-11 t=1393466
nan le 	難了	c=1 d=2.21996e-88 t=1393466
nan li 	南里	c=23 d=2.73809e-291 t=1393466
nan men 	南門	c=7 d=1.4927e-95 t=1393466
nan mian 	難免	c=13 d=2.01478e-06 t=1393466
nan min 	難民	c=3 d=3.61247e-81 t=1393466
nan ni 	難你	c=1 d=1.60868e-93 t=1393466
nan nv 	男女	c=8 d=3.38017e-05 t=1393466
nan nv zhu jue 	男女主角	c=1 d=0 t=1393466
nan peng you 	男朋友	c=9 d=3.31122e-86 t=1393466
nan ren 	男人	c=2 d=2.93739e-59 t=1393466
nan ren wa 	男人襪	c=1 d=1.05174e-64 t=1393466
nan sheng 	男生	c=12 d=4.55706e-196 t=1393466
nan sheng duo 	男生多	c=1 d=0 t=1393466
nan shi 	難事	c=1 d=2.27887e-102 t=1393466
nan shou 	難受	c=13 d=1.82398e-12 t=1393466
nan shuo 	難說	c=1 d=1.13004e-144 t=1393466
nan ti 	難題	c=8 d=6.61155e-133 t=1393466
nan ting 	難聽	c=3 d=5.43131e-56 t=1393466
